Provincias;Sexo;Periodo;Total
Nacional;Total;2023;8,512
Nacional;Total;2022;8,846
Nacional;Total;2021;8,45
Nacional;Hombres;2023;12,846
Nacional;Hombres;2022;13,343
Nacional;Hombres;2021;12,833
Nacional;Mujeres;2023;4,348
Nacional;Mujeres;2022;4,52
Nacional;Mujeres;2021;4,23
01 Araba/Álava;Total;2023;7,408
01 Araba/Álava;Total;2022;9,251
01 Araba/Álava;Total;2021;8,102
01 Araba/Álava;Hombres;2023;10,835
01 Araba/Álava;Hombres;2022;13,939
01 Araba/Álava;Hombres;2021;10,963
01 Araba/Álava;Mujeres;2023;4,086
01 Araba/Álava;Mujeres;2022;4,703
01 Araba/Álava;Mujeres;2021;5,323
02 Albacete;Total;2023;8,499
02 Albacete;Total;2022;9,05
02 Albacete;Total;2021;7,77
02 Albacete;Hombres;2023;15,948
02 Albacete;Hombres;2022;13,428
02 Albacete;Hombres;2021;11,902
02 Albacete;Mujeres;2023;1,031
02 Albacete;Mujeres;2022;4,66
02 Albacete;Mujeres;2021;3,629
03 Alicante/Alacant;Total;2023;8,459
03 Alicante/Alacant;Total;2022;8,75
03 Alicante/Alacant;Total;2021;7,4
03 Alicante/Alacant;Hombres;2023;12,197
03 Alicante/Alacant;Hombres;2022;12,555
03 Alicante/Alacant;Hombres;2021;10,987
03 Alicante/Alacant;Mujeres;2023;4,807
03 Alicante/Alacant;Mujeres;2022;5,023
03 Alicante/Alacant;Mujeres;2021;3,877
04 Almería;Total;2023;9,641
04 Almería;Total;2022;7,904
04 Almería;Total;2021;9,595
04 Almería;Hombres;2023;13,681
04 Almería;Hombres;2022;9,947
04 Almería;Hombres;2021;12,894
04 Almería;Mujeres;2023;5,409
04 Almería;Mujeres;2022;5,762
04 Almería;Mujeres;2021;6,157
05 Ávila;Total;2023;6,246
05 Ávila;Total;2022;10,036
05 Ávila;Total;2021;9,431
05 Ávila;Hombres;2023;7,458
05 Ávila;Hombres;2022;16,213
05 Ávila;Hombres;2021;15,009
05 Ávila;Mujeres;2023;5,021
05 Ávila;Mujeres;2022;3,786
05 Ávila;Mujeres;2021;3,793
06 Badajoz;Total;2023;7,507
06 Badajoz;Total;2022;9,146
06 Badajoz;Total;2021;7,471
06 Badajoz;Hombres;2023;11,245
06 Badajoz;Hombres;2022;14,864
06 Badajoz;Hombres;2021;12,392
06 Badajoz;Mujeres;2023;3,857
06 Badajoz;Mujeres;2022;3,558
06 Badajoz;Mujeres;2021;2,66
07 Balears, Illes;Total;2023;7,126
07 Balears, Illes;Total;2022;9,095
07 Balears, Illes;Total;2021;7,533
07 Balears, Illes;Hombres;2023;8,713
07 Balears, Illes;Hombres;2022;12,555
07 Balears, Illes;Hombres;2021;11,366
07 Balears, Illes;Mujeres;2023;5,55
07 Balears, Illes;Mujeres;2022;5,656
07 Balears, Illes;Mujeres;2021;3,717
08 Barcelona;Total;2023;7,983
08 Barcelona;Total;2022;7,567
08 Barcelona;Total;2021;6,703
08 Barcelona;Hombres;2023;11,647
08 Barcelona;Hombres;2022;10,866
08 Barcelona;Hombres;2021;10,161
08 Barcelona;Mujeres;2023;4,486
08 Barcelona;Mujeres;2022;4,42
08 Barcelona;Mujeres;2021;3,397
09 Burgos;Total;2023;7,809
09 Burgos;Total;2022;8,705
09 Burgos;Total;2021;11,265
09 Burgos;Hombres;2023;8,928
09 Burgos;Hombres;2022;13,479
09 Burgos;Hombres;2021;17,456
09 Burgos;Mujeres;2023;6,691
09 Burgos;Mujeres;2022;3,931
09 Burgos;Mujeres;2021;5,071
10 Cáceres;Total;2023;8,495
10 Cáceres;Total;2022;8,749
10 Cáceres;Total;2021;7,96
10 Cáceres;Hombres;2023;14,536
10 Cáceres;Hombres;2022;12,967
10 Cáceres;Hombres;2021;11,379
10 Cáceres;Mujeres;2023;2,553
10 Cáceres;Mujeres;2022;4,596
10 Cáceres;Mujeres;2021;4,59
11 Cádiz;Total;2023;9,628
11 Cádiz;Total;2022;9,02
11 Cádiz;Total;2021;8,722
11 Cádiz;Hombres;2023;15,026
11 Cádiz;Hombres;2022;14,414
11 Cádiz;Hombres;2021;13,789
11 Cádiz;Mujeres;2023;4,39
11 Cádiz;Mujeres;2022;3,778
11 Cádiz;Mujeres;2021;3,79
12 Castellón/Castelló;Total;2023;9,022
12 Castellón/Castelló;Total;2022;8,867
12 Castellón/Castelló;Total;2021;10,201
12 Castellón/Castelló;Hombres;2023;13,875
12 Castellón/Castelló;Hombres;2022;13,819
12 Castellón/Castelló;Hombres;2021;13,692
12 Castellón/Castelló;Mujeres;2023;4,235
12 Castellón/Castelló;Mujeres;2022;3,987
12 Castellón/Castelló;Mujeres;2021;6,756
13 Ciudad Real;Total;2023;7,92
13 Ciudad Real;Total;2022;9,36
13 Ciudad Real;Total;2021;9,358
13 Ciudad Real;Hombres;2023;11,468
13 Ciudad Real;Hombres;2022;15,601
13 Ciudad Real;Hombres;2021;15,198
13 Ciudad Real;Mujeres;2023;4,43
13 Ciudad Real;Mujeres;2022;3,228
13 Ciudad Real;Mujeres;2021;3,628
14 Córdoba;Total;2023;10,585
14 Córdoba;Total;2022;9,29
14 Córdoba;Total;2021;12,373
14 Córdoba;Hombres;2023;18,472
14 Córdoba;Hombres;2022;15,024
14 Córdoba;Hombres;2021;20,529
14 Córdoba;Mujeres;2023;3,033
14 Córdoba;Mujeres;2022;3,791
14 Córdoba;Mujeres;2021;4,546
15 Coruña, A;Total;2023;10,833
15 Coruña, A;Total;2022;12,751
15 Coruña, A;Total;2021;13,057
15 Coruña, A;Hombres;2023;17,423
15 Coruña, A;Hombres;2022;20,089
15 Coruña, A;Hombres;2021;17,531
